run_tag,ndcg_cut_20,P_20,bpref,map,Rprec,recall_10,avg
CincyMedIR-1,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-1-0,0.4632,0.4678,0.4309,0.1851,0.2578,0.0518,0.30943333333333334
CincyMedIR-2-1-1,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-1-2,0.4643,0.47,0.4298,0.1846,0.2581,0.0515,0.30971666666666664
CincyMedIR-2-1-3,0.4602,0.4622,0.4329,0.1826,0.2492,0.0564,0.30725
CincyMedIR-2-1-4,0.4695,0.4733,0.4306,0.1881,0.2612,0.054,0.31278333333333336
CincyMedIR-2-1-5,0.4555,0.46,0.4262,0.1812,0.2534,0.0513,0.30460000000000004
CincyMedIR-2-1-6,0.4612,0.4644,0.4272,0.1826,0.2551,0.0517,0.3070333333333333
CincyMedIR-2-1-7,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-1-8,0.4563,0.46,0.4266,0.1815,0.2539,0.0513,0.30493333333333333
CincyMedIR-2-1-9,0.4675,0.47,0.431,0.1852,0.2565,0.053,0.31053333333333333
CincyMedIR-2-2-0,0.3118,0.3356,0.4415,0.1377,0.2219,0.0369,0.24756666666666666
CincyMedIR-2-2-1,0.0153,0.0211,0.2958,0.0169,0.0319,0.0015,0.06375
CincyMedIR-2-2-2,0.2798,0.3067,0.4171,0.1143,0.1902,0.0297,0.22296666666666667
CincyMedIR-2-2-3,0.3289,0.3167,0.4114,0.1286,0.1992,0.0418,0.23776666666666668
CincyMedIR-2-2-4,0.4794,0.4733,0.4405,0.1938,0.259,0.0601,0.3176833333333333
CincyMedIR-2-2-5,0.1152,0.1267,0.35,0.0499,0.1033,0.0141,0.12653333333333333
CincyMedIR-2-2-6,0.1517,0.16,0.3578,0.0533,0.0962,0.0147,0.13895
CincyMedIR-2-2-7,0.0693,0.0878,0.3941,0.0589,0.1034,0.0059,0.1199
CincyMedIR-2-2-8,0.2602,0.2789,0.4397,0.1115,0.1746,0.0265,0.21523333333333333
CincyMedIR-2-2-9,0.3341,0.3533,0.4326,0.1342,0.2134,0.0343,0.2503166666666667
CincyMedIR-2-3-0,0.4789,0.49,0.4407,0.1955,0.2697,0.0524,0.3212
CincyMedIR-2-3-1,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-3-2,0.4848,0.4889,0.4337,0.1936,0.2672,0.0542,0.3204
CincyMedIR-2-3-3,0.3863,0.3744,0.4232,0.1523,0.2196,0.0488,0.26743333333333336
CincyMedIR-2-3-4,0.5068,0.5111,0.4378,0.2042,0.2747,0.059,0.33226666666666665
CincyMedIR-2-3-5,0.4576,0.4644,0.4266,0.1813,0.254,0.0513,0.3058666666666667
CincyMedIR-2-3-6,0.4662,0.4667,0.4297,0.1857,0.2581,0.053,0.3099
CincyMedIR-2-3-7,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-3-8,0.4586,0.4633,0.4278,0.1822,0.2541,0.0511,0.30618333333333336
CincyMedIR-2-3-9,0.4868,0.49,0.44,0.1973,0.2688,0.0585,0.32356666666666667
CincyMedIR-2-4-0,0.4707,0.4778,0.4328,0.1869,0.2599,0.0519,0.31333333333333335
CincyMedIR-2-4-1,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-4-2,0.4694,0.4733,0.4307,0.1866,0.2607,0.052,0.31211666666666665
CincyMedIR-2-4-3,0.4429,0.4356,0.4304,0.1742,0.2406,0.0539,0.2962666666666667
CincyMedIR-2-4-4,0.4802,0.4867,0.432,0.191,0.2637,0.0534,0.3178333333333333
CincyMedIR-2-4-5,0.456,0.4611,0.4262,0.1812,0.2534,0.0513,0.3048666666666667
CincyMedIR-2-4-6,0.4595,0.4622,0.4278,0.1833,0.2557,0.0518,0.30671666666666664
CincyMedIR-2-4-7,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-4-8,0.4568,0.46,0.4268,0.1816,0.2538,0.0513,0.30505
CincyMedIR-2-4-9,0.4709,0.4733,0.4322,0.1874,0.2593,0.0534,0.31275
CincyMedIR-2-5-0,0.4552,0.4856,0.4504,0.1945,0.2744,0.054,0.31901666666666667
CincyMedIR-2-5-1,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-5-2,0.4767,0.4922,0.4312,0.1896,0.2637,0.0569,0.31838333333333335
CincyMedIR-2-5-3,0.4495,0.4456,0.4271,0.1739,0.2393,0.0542,0.2982666666666667
CincyMedIR-2-5-4,0.5477,0.5511,0.4456,0.2212,0.2896,0.0668,0.35366666666666663
CincyMedIR-2-5-5,0.4685,0.4778,0.4298,0.1847,0.257,0.0523,0.3116833333333333
CincyMedIR-2-5-6,0.1981,0.18,0.2376,0.0432,0.0796,0.0172,0.12595
CincyMedIR-2-5-7,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-5-8,0.4035,0.4211,0.4492,0.174,0.25,0.049,0.29113333333333336
CincyMedIR-2-5-9,0.4763,0.48,0.4431,0.1925,0.2749,0.0573,0.3206833333333333
