run_tag,ndcg_cut_20,P_20,bpref,map,Rprec,recall_10,avg
CincyMedIR-19,0.5247,0.5389,0.4312,0.2043,0.2705,0.0608,0.33840000000000003
CincyMedIR-20-1-0,0.5302,0.5433,0.4365,0.2087,0.2754,0.0609,0.34249999999999997
CincyMedIR-20-1-1,0.5247,0.5389,0.4312,0.2043,0.2705,0.0608,0.33840000000000003
CincyMedIR-20-1-2,0.5301,0.5456,0.4345,0.2077,0.274,0.0611,0.3421666666666666
CincyMedIR-20-1-3,0.5054,0.4989,0.4374,0.197,0.2656,0.0604,0.32745
CincyMedIR-20-1-4,0.5379,0.5511,0.4369,0.2117,0.2771,0.0619,0.34609999999999996
CincyMedIR-20-1-5,0.5241,0.5378,0.4313,0.2043,0.2703,0.0608,0.3381
CincyMedIR-20-1-6,0.5258,0.5389,0.4318,0.2048,0.2711,0.0611,0.33891666666666664
CincyMedIR-20-1-7,0.5249,0.5389,0.4312,0.2043,0.2705,0.0608,0.33843333333333336
CincyMedIR-20-1-8,0.5255,0.54,0.432,0.2049,0.2701,0.0608,0.33888333333333337
CincyMedIR-20-1-9,0.5366,0.5478,0.4362,0.2089,0.2764,0.0614,0.34454999999999997
CincyMedIR-20-2-0,0.3333,0.3567,0.4474,0.1472,0.229,0.0395,0.25885
CincyMedIR-20-2-1,0.0128,0.0189,0.291,0.0162,0.029,0.0018,0.06161666666666666
CincyMedIR-20-2-2,0.2713,0.2911,0.42,0.1132,0.1883,0.03,0.21898333333333334
CincyMedIR-20-2-3,0.3322,0.3211,0.4112,0.1293,0.1967,0.0415,0.23866666666666667
CincyMedIR-20-2-4,0.48,0.4756,0.4434,0.1963,0.2606,0.0602,0.31935
CincyMedIR-20-2-5,0.0681,0.0678,0.3325,0.0345,0.0657,0.0084,0.09616666666666666
CincyMedIR-20-2-6,0.1489,0.1489,0.3544,0.0508,0.0908,0.0141,0.13465
CincyMedIR-20-2-7,0.0644,0.0756,0.3918,0.0578,0.0989,0.007,0.11591666666666665
CincyMedIR-20-2-8,0.2623,0.27,0.4444,0.1171,0.1789,0.0311,0.21730000000000002
CincyMedIR-20-2-9,0.3495,0.3667,0.4362,0.14,0.2255,0.0383,0.25936666666666663
CincyMedIR-20-3-0,0.5439,0.5544,0.4432,0.2188,0.2856,0.0626,0.3514166666666667
CincyMedIR-20-3-1,0.5247,0.5389,0.4312,0.2043,0.2705,0.0608,0.33840000000000003
CincyMedIR-20-3-2,0.5463,0.5611,0.4383,0.2148,0.283,0.0626,0.3510166666666667
CincyMedIR-20-3-3,0.4069,0.3956,0.4254,0.1592,0.2258,0.0511,0.2773333333333333
CincyMedIR-20-3-4,0.5648,0.5744,0.4424,0.2239,0.2873,0.0645,0.35955
CincyMedIR-20-3-5,0.5234,0.5367,0.4312,0.2043,0.2703,0.0608,0.3377833333333333
CincyMedIR-20-3-6,0.5274,0.5422,0.4321,0.2048,0.2699,0.0583,0.3391166666666666
CincyMedIR-20-3-7,0.5249,0.5389,0.4312,0.2043,0.2705,0.0608,0.33843333333333336
CincyMedIR-20-3-8,0.5271,0.5411,0.4333,0.2058,0.2711,0.0608,0.33986666666666665
CincyMedIR-20-3-9,0.5544,0.56,0.4429,0.2186,0.2866,0.0625,0.3541666666666667
CincyMedIR-20-4-0,0.5313,0.5444,0.4387,0.2105,0.2785,0.0608,0.34403333333333336
CincyMedIR-20-4-1,0.5247,0.5389,0.4312,0.2043,0.2705,0.0608,0.33840000000000003
CincyMedIR-20-4-2,0.5322,0.5456,0.4355,0.209,0.2762,0.0612,0.34328333333333333
CincyMedIR-20-4-3,0.4747,0.4656,0.4344,0.1861,0.2505,0.0581,0.31156666666666666
CincyMedIR-20-4-4,0.5464,0.5611,0.4384,0.2143,0.2798,0.0626,0.3504333333333334
CincyMedIR-20-4-5,0.5241,0.5378,0.4313,0.2044,0.2701,0.0608,0.33808333333333335
CincyMedIR-20-4-6,0.5271,0.5411,0.4319,0.2051,0.27,0.0606,0.3393
CincyMedIR-20-4-7,0.5249,0.5389,0.4312,0.2043,0.2705,0.0608,0.33843333333333336
CincyMedIR-20-4-8,0.5256,0.54,0.4321,0.205,0.2706,0.0608,0.3390166666666667
CincyMedIR-20-4-9,0.5396,0.5511,0.4372,0.2108,0.2778,0.062,0.3464166666666666
CincyMedIR-20-5-0,0.5152,0.5278,0.4571,0.2213,0.2964,0.0609,0.34645
CincyMedIR-20-5-1,0.5247,0.5389,0.4312,0.2043,0.2705,0.0608,0.33840000000000003
CincyMedIR-20-5-2,0.5177,0.5267,0.4358,0.1996,0.2637,0.0605,0.33399999999999996
CincyMedIR-20-5-3,0.482,0.47,0.429,0.1847,0.2484,0.059,0.3121833333333333
CincyMedIR-20-5-4,0.5664,0.5656,0.4505,0.2332,0.2953,0.0717,0.36378333333333335
CincyMedIR-20-5-5,0.5182,0.5333,0.4312,0.2003,0.2712,0.0581,0.3353833333333333
CincyMedIR-20-5-6,0.2095,0.1889,0.2233,0.0419,0.0745,0.0197,0.12630000000000002
CincyMedIR-20-5-7,0.5249,0.5389,0.4312,0.2043,0.2705,0.0608,0.33843333333333336
CincyMedIR-20-5-8,0.4607,0.4767,0.453,0.2009,0.275,0.0549,0.3202
CincyMedIR-20-5-9,0.5372,0.5322,0.4496,0.213,0.2849,0.0644,0.3468833333333333
