run_tag,ndcg_cut_20,P_20,bpref,map,Rprec,recall_10,avg
CincyMedIR-2-19,0.5247,0.5389,0.4312,0.2043,0.2705,0.0608,0.33840000000000003
CincyMedIR-2-20-1-3,0.5659,0.5767,0.4322,0.2177,0.2839,0.0645,0.35681666666666667
CincyMedIR-2-20-1-4,0.5244,0.5367,0.4324,0.2074,0.274,0.0606,0.33924999999999994
CincyMedIR-2-20-2-3,0.5133,0.5089,0.4206,0.1943,0.2641,0.0548,0.326
CincyMedIR-2-20-2-4,0.4712,0.4878,0.4029,0.1591,0.2246,0.0602,0.30096666666666666
CincyMedIR-2-20-3-3,0.5412,0.5456,0.4248,0.206,0.2747,0.0614,0.34228333333333333
CincyMedIR-2-20-3-4,0.5398,0.5589,0.434,0.2113,0.2787,0.0618,0.3474166666666666
CincyMedIR-2-20-4-3,0.5575,0.56,0.4307,0.215,0.2794,0.0637,0.35105
CincyMedIR-2-20-4-4,0.5289,0.5422,0.4332,0.2086,0.2744,0.0621,0.3415666666666667
CincyMedIR-2-20-5-3,0.5693,0.5789,0.4307,0.2171,0.2829,0.0638,0.35711666666666664
CincyMedIR-2-20-5-4,0.5322,0.5444,0.4185,0.1972,0.2622,0.0654,0.33665
CincyMedIR-2-1,0.4558,0.4589,0.4262,0.1813,0.253,0.0513,0.30441666666666667
CincyMedIR-2-2-1-3,0.5129,0.5089,0.4309,0.2057,0.2726,0.0645,0.33258333333333334
CincyMedIR-2-2-1-4,0.4726,0.4778,0.4298,0.1865,0.2586,0.0523,0.31293333333333334
CincyMedIR-2-2-2-3,0.4198,0.4367,0.4203,0.1702,0.2443,0.0559,0.29119999999999996
CincyMedIR-2-2-2-4,0.4244,0.4344,0.4056,0.1541,0.2203,0.0539,0.2821166666666667
CincyMedIR-2-2-3-3,0.4744,0.4833,0.4262,0.1901,0.2559,0.062,0.31531666666666663
CincyMedIR-2-2-3-4,0.4946,0.4978,0.4348,0.1986,0.2691,0.0596,0.32575
CincyMedIR-2-2-4-3,0.5112,0.5111,0.4305,0.2036,0.2718,0.0649,0.33218333333333333
CincyMedIR-2-2-4-4,0.4743,0.4789,0.4315,0.189,0.2589,0.0534,0.3143333333333333
CincyMedIR-2-2-5-3,0.5067,0.5056,0.4283,0.203,0.2689,0.0652,0.32961666666666667
CincyMedIR-2-2-5-4,0.4869,0.4911,0.4158,0.1944,0.2599,0.0623,0.3184
CincyMedIR-2-3,0.1364,0.1267,0.1969,0.0331,0.0737,0.02,0.0978
CincyMedIR-2-4-1-3,0.1274,0.1189,0.1914,0.0312,0.072,0.0171,0.09300000000000001
CincyMedIR-2-4-1-4,0.1484,0.1356,0.2051,0.0364,0.0795,0.0213,0.10438333333333333
CincyMedIR-2-4-2-3,0.1114,0.1,0.1728,0.0255,0.061,0.0139,0.08076666666666667
