topic_id,query
1,C0206419 C0439659. C0079946 C5203670. C0003062 C0015219 C0086418 C0205435 C0242781 C0319157 C0439659 C0449416 C1561528 C2700399 C4760793 C5203676. C5203670
2,C0043085 C0206419 C1704632 C4319952. C0043085 C0206419 C4319952. C0008946 C0012634 C0043085 C1561528 C1563773 C1705242 C4760793 C5203676. C5203670
3,C0020964 C0206419. C0020964 C0027361 C0332149 C0439663 C1175175 C2717886. C0008972 C0009450 C0020964 C0206419 C1175175 C1517378 C2717886 C3146286 C5202910. C5203670
4,C0012144 C0027361 C0206419. C0015127 C4722467 C5203670. C0008972 C0233426 C0441712 C4722467 C5203670. C5203670
5,C0012644 C5203670. C0013227 C0205177 C0683949 C1175743 C5203676. C0009450 C0012644 C0013227 C0030351 C0038577 C0042736 C0700271 C1167622 C1510438 C2347946 C2825142 C4721550 C5203676. C5203670
6,C0206419 C3831328. C0456962 C3831328 C5202910 C5203670. C0008972 C0011900 C0233426 C0456962 C5203670. C5203670
7,C0036743 C0206419. C0003241 C0036743 C0206419 C0442726. C0020964 C0079809 C0233426 C0301872 C0332149 C0332282 C0521095 C1269765 C1510438 C4699566 C5203670. C5203670
8,C0206419 C3273238. C0021149 C0023175 C0205238 C0332268 C0470187 C3831328 C5203670. C0008972 C0205197 C0233426 C0332268 C1522634 C1706817 C1825598 C3831328 C5203670. C5203670
9,C0006823 C0206419. C0001721 C0006823 C5203670. C0009450 C0018684 C0019993 C0026566 C0085559 C0163712 C0750491 C1274040 C1456348 C1457887 C1511726 C1709701. C5203670
10,C0206419 C0728831 C1825598. C0439834 C0728831 C1825598 C1947932 C5203670. C0008972 C0079809 C0242781 C0449445 C0728831 C1513853 C1552740 C1561528 C5201140 C5203670. C5203670
11,C0019994 C0206419. C0030705 C0162791 C0206750. C0002055 C0011298 C0030705 C0036743 C0162791 C0205210 C0206750 C1547188 C1561528 C5203670. C5203670
12,C0034386 C0206419. C0019994 C0024501 C0034386 C1549632 C3179154. C0026606 C0034386 C0319157 C0439663 C1561528 C2926735 C3179154 C5203670. C5203670
13,C0206419 C1947932. C0013153 C0040722 C0206419. C0003062 C0027361 C0233426 C0332149 C0332522 C1561528 C1704861 C5203670. C5203670
14,C0183479 C0206419. C0163712 C0183479 C3887511 C5203670. C0163712 C0183479 C0449788 C1561528 C1709707 C4760793. C5203670
15,C0205101 C0206419 C0242821. C0205101 C0206419 C0242821 C0392744 C1548795. C0014406 C0038952 C0086418 C0205101 C0205148 C0319157 C1304698 C1561528 C1705242 C4760793 C5203676. C5203670
16,C0205148 C0206419 C0310255 C0392744. C0205148 C0206419 C0392744 C1547311. C0010200 C0019994 C0020052 C0040227 C0205148 C0332173 C0333562 C0439663 C0439815 C1522390 C1547311 C1704861 C4281677 C5203676. C5203670
17,C0206419 C1096775. C0206419 C0470187 C1096775. C0008976 C0205197 C0271510 C1552740 C2825142 C4760793 C5203670. C5203670
18,C0024861 C0206419 C0309872. C0009450 C0024861 C0309872 C1826421 C5203670. C0009450 C0024861 C0309872 C0457083 C5202910 C5203670. C5203670
19,C0001962 C0162388 C0183086 C0206419. C0018563 C0027552 C0183086 C1948029 C5202910 C5203670. C0008972 C0027552 C0319157 C1516048 C1948029 C3827302 C4761398 C5203670. C5203670
20,C0003015 C0206419. C0003015 C0030705 C0035647 C0442805 C1452534 C1515187 C5203670. C0003018 C0014442 C0030705 C0035647 C0206419 C0233426 C0597357 C0687133 C1422064 C1561528. C5203670
21,C0026566 C0206419. C0205848 C1561607 C4740649. C0002055 C0005810 C0079399 C1257890 C1521761 C1549480 C1550710 C1561528 C1705242 C5203670. C5203670
22,C0018787 C0206419 C1825598. C0030705 C0161816 C0332148 C5203670. C0015127 C0161816 C0206419 C0441712 C1561528 C4321352 C5202910. C5203670
23,C0206419 C1963138. C0009566 C0163712 C1706221 C1963138 C5203670. C0015450 C0030705 C0319157 C0332148 C0439092 C0439663 C0857121 C1274040 C1552740 C5202910. C5203670
24,C0011849 C0206419. C0009566 C0011849 C0163712 C1706221 C5203670. C0015450 C0030705 C0241863 C0319157 C0332148 C0439092 C0439663 C1274040 C1552740 C5202910. C5203670
25,C0005516 C0206419. C0005516 C0009450 C1832406 C5203676. C0005516 C0233426 C1561528 C3542417. C5203670
26,C0206419 C1279919 C1457887. C1279901 C1457887 C5203670. C0008972 C0009450 C0030705 C0205177 C0205210 C0205319 C0205435 C1720176. C5203670
27,C0206419 C0231221. C0231221 C0439663 C5203670. C0008972 C0027361 C0439663 C1457887 C1547282 C5203670. C5203670
28,C0020336 C0206419. C0020336 C0087111 C1554112 C3887511 C5203670. C0008972 C0020336 C0087111 C0681833 C0814225 C1516048 C5203670. C5203670
29,C0206419 C2936405. C0002055 C0013227 C0033684 C0085104 C0205540 C0872079 C1142652 C1561528 C3245505 C5203676. C0085104 C0302350 C0567416 C0582263 C0597357 C0682447 C0872079 C1561528 C1705117 C1705654 C1819995 C1882932 C3812381 C5203676. C5203670
30,C0206419 C4726677. C1533734 C1704419 C4726677 C5203670. C0030705 C0087111 C0205210 C1274040 C1552740 C1561528 C4726677 C5203670. C5203670
31,C0021400 C0206419 C1705241. C0021400 C0206419 C0439601. C0008972 C0013113 C0021400 C0205234 C0205246 C0439601 C0699943 C0887950 C1705241 C1707455 C1825598 C1947931 C2700399 C4760793 C5203670. C5203670
32,C0206419 C0449560. C0449560 C5203676. C0002055 C0009085 C0027365 C0030351 C0319157 C0449560 C0887950 C1517526 C2584313. C5203670
33,C0042210 C0206419 C4527371. C0042210 C3831328 C4527371 C5203670. C0008972 C0027365 C0042210 C0237400 C0332149 C0332196 C0441712 C1096775 C1552740 C1706852 C2584313 C2700399 C3266814 C4527371 C5203670. C5203670
34,C0206419 C0237820. C0009566 C0233324 C3858677 C5203670. C0008972 C0013227 C0018684 C0163712 C0205234 C0319157 C0332196 C0879626 C1274040 C1561528 C3858677 C5203670. C5203670
35,C0206419 C1552597. C0470187 C1552597 C1553390 C1704787 C5203670. C0030685 C0163712 C0699943 C0887950 C1514811 C1553390 C1706852 C2347946 C2700399 C2707520 C2987476 C3245479 C5203670 C5203676. C5203670
36,C0678594 C3882441 C5203676. C0175168 C3882441 C5203676. C0008972 C0010424 C0025663 C0042736 C0233426 C0457083 C0678594 C0700271. C5203670
37,C1519068 C5203676. C0004793 C0017428 C1519068 C2825142 C5203676. C0008972 C0017428 C0233426 C0359589 C0868995 C2825142 C4760793 C5203676. C5203670
38,C1155266. C0441712 C0699748 C0868928 C1155266 C5203670. C0001617 C0003209 C0008972 C0012634 C0012652 C0013227 C0206419 C0233426 C0441712 C0681579 C0699748 C1136359 C1155266 C2700399 C4760793 C5203670. C5203670
39,C0079189 C5203670. C0079189 C0441712 C1861452 C5203670. C0008972 C0079189 C0233426 C0441712 C1527148. C5203670
40,C0026882 C0206419. C0017428 C0026882 C0332183 C1441672 C2745955 C5203676. C0008972 C0026882 C0205210 C0206419 C0233426 C0319157 C0441712 C0887950 C1136169 C1441672 C1455761 C1515974 C1880371 C3146286 C3245505. C5203670
41,C0085756 C5203670. C0035253 C0085756 C1257890 C1825598 C5203670. C0008972 C0015031 C0015450 C0026192 C0026538 C0026566 C0085756 C0162698 C0233426 C0242781 C0392360 C1171307 C1552740 C1561528 C1615608 C2584313 C2700399 C2700400 C3245505 C3812381 C4722467. C5203670
42,C0042890 C5203670. C0042890 C1533734 C1706420 C1825598 C5203670. C0008972 C0026566 C0042890 C0079189 C0205210 C0301625 C0332149 C0449438 C1274040 C1704771 C1706420 C2700399 C3871154 C5203670. C5203670
43,C0042693 C1615608. C0037455 C0042693 C0680472 C1615608 C1825598 C2700399 C5203670. C0003063 C0034386 C0042693 C0163712 C0206072 C0233426 C0936012 C1511726 C1549480 C1615608 C1825598 C2700399. C5203670
44,C0024861 C0206419 C0242781 C1825598. C0024861 C0309872 C1825598 C1947932 C4281574 C5203670. C0008972 C0233426. C5203670
45,C0025353 C0206419 C1825598. C0025353 C1615608 C1825598 C5203670. C0004936 C0012634 C0025353 C0030319 C0338908 C0442805 C0547047 C1549480 C2700399. C5203670
