topic_id,query
1,coronavirus origin. origin covid-19. seek range information sars-cov-2 virus's origin include evolution animal source first transmission human
2,coronavirus response weather change. coronavirus respond change weather. seek range information sars-cov-2 virus viability different weather climate condition well information relate transmission virus different climate condition
3,coronavirus immunity. sars-cov2 infected people develop immunity cross protection possible. seek study immunity develop due infection sars-cov2 cross protection gain due infection coronavirus type
4,people die coronavirus. cause death covid-19. study look mechanism death covid-19
5,animal model covid-19. drug active sars-cov sars-cov-2 animal study. paper describe result test drug bind spike protein virus drug animal model paper sars-cov-2 infection cell culture assay also relevant
6,coronavirus test rapid test. type rapid test covid-19 develop. look study identify way diagnose covid-19 rapidly
7,serological test coronavirus. serological test detect antibody coronavirus. look assay measure immune response covid-19 help determine past infection subsequent possible immunity
8,coronavirus report. lack test availability lead underreporting true incidence covid-19. look study answer question impact lack complete test covid-19 incidence prevalence covid-19
9,coronavirus canada. covid-19 affect canada. seek data relate infection confirm suspect project health outcome symptoms hospitalization intensive care mortality
10,coronavirus social distancing impact. social distancing impact slow spread covid-19. seek specific information study measure covid-19's transmission one social distancing non-social distancing approach
11,coronavirus hospital rationing. guideline triaging patient infect coronavirus. seek information guideline prioritize covid-19 patient infect coronavirus base demographic clinical sign serology test
12,coronavirus quarantine. best practice hospital home maintain quarantine. seek information best practice activity duration quarantine expose infect covid-19 virus
13,coronavirus spread. transmission route coronavirus. look information possible way contract covid-19 people animal object
14,coronavirus super spreader. evidence relate covid-19 super spreader. seek range information relate number proportion super spreader pattern behavior lead spread potential prevention strategy target specifically toward super spreader
15,coronavirus outside body. long coronavirus live outside body. seek range information sars-cov-2's virus's survival different environment surface liquid etc outside human body still viable transmission another human
16,long coronavirus survive surface. long coronavirus remain stable surface. study time sars-cov-2 remains stable deposit infected person everyday surface household hospital setting coughing touching object
17,coronavirus clinical trial. clinical trial available coronavirus. seek specific covid-19 clinical trial range trial recruitment complete trial result
18,mask prevent coronavirus. best mask prevent infection covid-19. type mask use prevent infection covid-19
