topic_id,query,question,narrative,covid,lexi_query,metamap_00_term_query,metamap_00_id_query,metamap_01_term_query,metamap_01_id_query,metamap_10_term_query,metamap_10_id_query,metamap_11_term_query,metamap_11_id_query,lexi_question,metamap_00_term_question,metamap_00_id_question,metamap_01_term_question,metamap_01_id_question,metamap_10_term_question,metamap_10_id_question,metamap_11_term_question,metamap_11_id_question,lexi_narrative,metamap_00_term_narrative,metamap_00_id_narrative,metamap_01_term_narrative,metamap_01_id_narrative,metamap_10_term_narrative,metamap_10_id_narrative,metamap_11_term_narrative,metamap_11_id_narrative,lexi_covid,metamap_00_term_covid,metamap_00_id_covid,metamap_01_term_covid,metamap_01_id_covid,metamap_10_term_covid,metamap_10_id_covid,metamap_11_term_covid,metamap_11_id_covid
1,coronavirus origin,origin covid-19,seek range information sars-cov-2 virus's origin include evolution animal source first transmission human,covid-19,,National origin Genus: Coronavirus Beginning Participation Type - origin,C0079946 C0206419 C0439659 C1550512,,,Genus: Coronavirus Beginning,C0206419 C0439659,,,,National origin Beginning Participation Type - origin COVID-19,C0079946 C0439659 C1550512 C5203670,,,National origin COVID-19,C0079946 C5203670,,,,Animals Biological Evolution disease transmission qualifier Virus National origin Homo sapiens First (number) disease transmission AS virus Including (qualifier) Beginning Source control act - information Firstly Range transmission process Information Participation Type - origin include - SetOperator Error severity - Information Acknowledgement Detail Type - Information Term Source Sample Range Include (action) Concept model range (foundation metadata concept) Source (property) (qualifier value) Analytical Procedure Range SARS-CoV-2,C0003062 C0015219 C0040722 C0042776 C0079946 C0086418 C0205435 C0242781 C0319157 C0332257 C0439659 C0449416 C0870705 C1279901 C1514721 C1521797 C1533716 C1550512 C1552866 C1561527 C1561528 C1705919 C2348147 C2700399 C3542016 C4521696 C4760793 C5203676,Biological Evolution Homo sapiens,C0015219 C0086418,Animals Biological Evolution Homo sapiens First (number) disease transmission AS virus Beginning Source Acknowledgement Detail Type - Information Include (action) Analytical Procedure Range SARS-CoV-2,C0003062 C0015219 C0086418 C0205435 C0242781 C0319157 C0439659 C0449416 C1561528 C2700399 C4760793 C5203676,Biological Evolution Homo sapiens,C0015219 C0086418,,COVID-19,C5203670,,,COVID-19,C5203670,,
2,coronavirus response weather change,coronavirus respond change weather,seek range information sars-cov-2 virus viability different weather climate condition well information relate transmission virus different climate condition,covid-19,,Weather Genus: Coronavirus Changing Changed status Response process Disease Response Delta (difference) Response (statement) Response (communication) Change -- procedure,C0043085 C0206419 C0392747 C0443172 C0871261 C1704632 C1705241 C1706817 C2911692 C4319952,Weather,C0043085,Weather Genus: Coronavirus Disease Response Change -- procedure,C0043085 C0206419 C1704632 C4319952,Weather,C0043085,,Weather Genus: Coronavirus Changing Changed status Delta (difference) Change -- procedure,C0043085 C0206419 C0392747 C0443172 C1705241 C4319952,Weather,C0043085,Weather Genus: Coronavirus Change -- procedure,C0043085 C0206419 C4319952,Weather,C0043085,  ,Climate Disease Weather Condition control act - information Range Information Error severity - Information Acknowledgement Detail Type - Information Virus Viability Different Logical Condition Sample Range Concept model range (foundation metadata concept) Condition:Find:Pt:^Patient:Nom Condition Domain Analytical Procedure Range SARS-CoV-2,C0008946 C0012634 C0043085 C0348080 C0870705 C1514721 C1533716 C1561527 C1561528 C1563773 C1705242 C1705253 C2348147 C3542016 C3864998 C4722256 C4760793 C5203676,Climate Disease Weather Virus Viability,C0008946 C0012634 C0043085 C1563773,Climate Disease Weather Acknowledgement Detail Type - Information Virus Viability Different Analytical Procedure Range SARS-CoV-2,C0008946 C0012634 C0043085 C1561528 C1563773 C1705242 C4760793 C5203676,Climate Disease Weather Virus Viability,C0008946 C0012634 C0043085 C1563773,,COVID-19,C5203670,,,COVID-19,C5203670,,
3,coronavirus immunity,sars-cov2 infected people develop immunity cross protection possible,seek study immunity develop due infection sars-cov2 cross protection gain due infection coronavirus type,covid-19,,Immunity Genus: Coronavirus,C0020964 C0206419,,,Immunity Genus: Coronavirus,C0020964 C0206419,,,  ,Immunity Persons Possible Infected Severe Acute Respiratory Syndrome SARS coronavirus SARS gene SARS2 gene Possibly Related to Intervention Possible diagnosis Cross Protection,C0020964 C0027361 C0332149 C0439663 C1175175 C1175743 C1419818 C1425041 C1705910 C2362652 C2717886,Severe Acute Respiratory Syndrome SARS coronavirus Cross Protection,C1175175 C1175743 C2717886,Immunity Persons Possible Infected Severe Acute Respiratory Syndrome Cross Protection,C0020964 C0027361 C0332149 C0439663 C1175175 C2717886,Severe Acute Respiratory Syndrome Cross Protection,C1175175 C2717886,     ,Clinical Research Communicable Diseases Immunity Genus: Coronavirus Type - attribute Room of building - Study Due to Scientific Study Severe Acute Respiratory Syndrome SARS coronavirus SARS gene SGCG gene SARS2 gene Gain Type - ParameterizedDataType Adverse Event Associated with Infection Study Object DICOM Study Study Cross Protection Due Infection GDC Type Terminology,C0008972 C0009450 C0020964 C0206419 C0332307 C0557651 C0678226 C0947630 C1175175 C1175743 C1419818 C1420009 C1425041 C1517378 C1552651 C1556682 C1705923 C1880229 C2603343 C2717886 C3146286 C3714514 C5202910,Communicable Diseases Severe Acute Respiratory Syndrome SARS coronavirus Cross Protection,C0009450 C1175175 C1175743 C2717886,Clinical Research Communicable Diseases Immunity Genus: Coronavirus Severe Acute Respiratory Syndrome Gain Cross Protection Due GDC Type Terminology,C0008972 C0009450 C0020964 C0206419 C1175175 C1517378 C2717886 C3146286 C5202910,Communicable Diseases Severe Acute Respiratory Syndrome Cross Protection,C0009450 C1175175 C2717886,,COVID-19,C5203670,,,COVID-19,C5203670,,
4,people die coronavirus,cause death covid-19,study look mechanism death covid-19,covid-19,,Structure of diencephalon Persons Genus: Coronavirus,C0012144 C0027361 C0206419,,,Structure of diencephalon Persons Genus: Coronavirus,C0012144 C0027361 C0206419,,,,Cessation of life Etiology aspects Death (finding) Science of Etiology Event Consequence - Death Adverse Event Associated with Death Death Domain COVID-19,C0011065 C0015127 C1306577 C1524003 C1546949 C1559081 C4722467 C5203670,Death Domain,C4722467,Etiology aspects Death Domain COVID-19,C0015127 C4722467 C5203670,Death Domain,C4722467,,Clinical Research Cessation of life Personal appearance Mechanism (attribute) Room of building - Study Scientific Study Death (finding) Event Consequence - Death Adverse Event Associated with Death Study Object Mechanism Component of Device DICOM Study Study Death Domain COVID-19,C0008972 C0011065 C0233426 C0441712 C0557651 C0947630 C1306577 C1546949 C1559081 C1705923 C1706376 C1880229 C2603343 C4722467 C5203670,Death Domain,C4722467,Clinical Research Personal appearance Mechanism (attribute) Death Domain COVID-19,C0008972 C0233426 C0441712 C4722467 C5203670,Death Domain,C4722467,,COVID-19,C5203670,,,COVID-19,C5203670,,
5,animal model covid-19,drug active sars-cov sars-cov-2 animal study,paper describe result test drug bind spike protein virus drug animal model paper sars-cov-2 infection cell culture assay also relevant,covid-19,,Animal Disease Models Animal Model COVID-19,C0012644 C0599779 C5203670,Animal Disease Models,C0012644,Animal Disease Models COVID-19,C0012644 C5203670,Animal Disease Models,C0012644,    ,Pharmaceutical Preparations Active Active State Animal Study Active brand of pseudoephedrine-triprolidine SARS coronavirus Pharmacologic Substance Concept Status - Active EditStatus - Active Managed Participation Status - active Role Status - active Entity Status - active Document Storage - active Document Storage Status - Active Immunization Registry Status - Active Active Control Active Study active (HL7 RoleLink) Active License SARS-CoV-2,C0013227 C0205177 C0679217 C0683949 C0718247 C1175743 C1254351 C1553875 C1561507 C1561508 C1561509 C1561510 C1561511 C1561512 C1561513 C1706449 C2347179 C3853793 C3888249 C5203676,SARS coronavirus,C1175743,Pharmaceutical Preparations Active Animal Study SARS coronavirus SARS-CoV-2,C0013227 C0205177 C0683949 C1175743 C5203676,SARS coronavirus,C1175743,         ,"Biological Assay Cell Culture Techniques Communicable Diseases Animal Disease Models Pharmaceutical Preparations Paper Substance Abuse Detection Viral Proteins assay qualifier Animal Model M Protein, multiple myeloma Binding action Binding (Molecular Function) Pharmacologic Substance Result Assay What subject filter - Result Paper Authorization Adverse Event Associated with Infection Relevance Experimental Result Paper Dosing Unit Infection Cell Culture SARS-CoV-2",C0005507 C0007585 C0009450 C0012644 C0013227 C0030351 C0038577 C0042736 C0243073 C0599779 C0700271 C1145667 C1167622 C1254351 C1274040 C1510438 C1546471 C1547566 C1556682 C2347946 C2825142 C2826224 C3714514 C4721550 C5203676,"Cell Culture Techniques Communicable Diseases Animal Disease Models Paper Substance Abuse Detection Viral Proteins M Protein, multiple myeloma Assay Cell Culture",C0007585 C0009450 C0012644 C0030351 C0038577 C0042736 C0700271 C1510438 C4721550,"Communicable Diseases Animal Disease Models Pharmaceutical Preparations Paper Substance Abuse Detection Viral Proteins M Protein, multiple myeloma Binding (Molecular Function) Assay Relevance Experimental Result Cell Culture SARS-CoV-2",C0009450 C0012644 C0013227 C0030351 C0038577 C0042736 C0700271 C1167622 C1510438 C2347946 C2825142 C4721550 C5203676,"Communicable Diseases Animal Disease Models Paper Substance Abuse Detection Viral Proteins M Protein, multiple myeloma Assay Cell Culture",C0009450 C0012644 C0030351 C0038577 C0042736 C0700271 C1510438 C4721550,,COVID-19,C5203670,,,COVID-19,C5203670,,
6,coronavirus test rapid test,type rapid test covid-19 develop,look study identify way diagnose covid-19 rapidly,covid-19,   ,Laboratory Procedures Testing Genus: Coronavirus Tests (qualifier value) Test Result Test Dosing Unit Test Name Blood Products Laboratory Testing Test - temporal region,C0022885 C0039593 C0206419 C0392366 C0456984 C1704435 C2826273 C3831328 C4318744,,,Genus: Coronavirus Blood Products Laboratory Testing,C0206419 C3831328,,, ,Laboratory Procedures Testing Type - attribute Tests (qualifier value) Rapid Test Result SGCG gene Type - ParameterizedDataType Test Dosing Unit Test Name Blood Products Laboratory Testing Test - temporal region GDC Type Terminology COVID-19,C0022885 C0039593 C0332307 C0392366 C0456962 C0456984 C1420009 C1552651 C1704435 C2826273 C3831328 C4318744 C5202910 C5203670,,,Rapid Blood Products Laboratory Testing GDC Type Terminology COVID-19,C0456962 C3831328 C5202910 C5203670,,,,Clinical Research Diagnosis Personal appearance Rapid Room of building - Study Scientific Study Study Object DICOM Study Study COVID-19,C0008972 C0011900 C0233426 C0456962 C0557651 C0947630 C1705923 C1880229 C2603343 C5203670,,,Clinical Research Diagnosis Personal appearance Rapid COVID-19,C0008972 C0011900 C0233426 C0456962 C5203670,,,,COVID-19,C5203670,,,COVID-19,C5203670,,
7,serological test coronavirus,serological test detect antibody coronavirus,look assay measure immune response covid-19 help determine past infection subsequent possible immunity,covid-19, ,Serologic tests Genus: Coronavirus,C0036743 C0206419,Serologic tests,C0036743,Serologic tests Genus: Coronavirus,C0036743 C0206419,Serologic tests,C0036743,,"Antibodies Immunoglobulins Serologic tests Genus: Coronavirus Detected (finding) immunoglobulin complex location antibody activity Immunoglobulin complex location, circulating Dosing Days to Detection",C0003241 C0021027 C0036743 C0206419 C0442726 C1167408 C1621287 C3665580 C3891454,Antibodies Immunoglobulins Serologic tests,C0003241 C0021027 C0036743,Antibodies Serologic tests Genus: Coronavirus Detected (finding),C0003241 C0036743 C0206419 C0442726,Antibodies Serologic tests,C0003241 C0036743, ,Biological Assay Immunity Measures Personal appearance Measurement assay qualifier Immune response Possible Following Determined by Assisted (qualifier value) Assay Help document Possibly Related to Intervention Possible diagnosis Past infection COVID-19,C0005507 C0020964 C0079809 C0233426 C0242485 C0243073 C0301872 C0332149 C0332282 C0521095 C1269765 C1510438 C1552861 C1705910 C2362652 C4699566 C5203670,Measures Assay,C0079809 C1510438,Immunity Measures Personal appearance Immune response Possible Following Determined by Assisted (qualifier value) Assay Past infection COVID-19,C0020964 C0079809 C0233426 C0301872 C0332149 C0332282 C0521095 C1269765 C1510438 C4699566 C5203670,Measures Assay,C0079809 C1510438,,COVID-19,C5203670,,,COVID-19,C5203670,,
8,coronavirus report,lack test availability lead underreporting true incidence covid-19,look study answer question impact lack complete test covid-19 incidence prevalence covid-19,covid-19,,Genus: Coronavirus Report (document) Reporting Regulatory Report Report:Finding:Point in time:{Setting}:Document:{Role},C0206419 C0684224 C0700287 C3273238 C4255046,,,Genus: Coronavirus Regulatory Report,C0206419 C3273238,,,,"Incidence Laboratory Procedures lead Testing Leads (device) True incidence of cases Lacking Tests (qualifier value) Test Result Availability of Lead measurement Plumbum metallicum, homeopathic preparation Leading Test Dosing Unit Dietary Lead Test Name Cardiac Lead Procedure Blood Products Laboratory Testing Test - temporal region COVID-19",C0021149 C0022885 C0023175 C0039593 C0181586 C0205238 C0220856 C0332268 C0392366 C0456984 C0470187 C0524167 C1442948 C1522538 C1704435 C2348269 C2826273 C3275067 C3831328 C4318744 C5203670,Incidence lead,C0021149 C0023175,Incidence lead True Lacking Availability of Blood Products Laboratory Testing COVID-19,C0021149 C0023175 C0205238 C0332268 C0470187 C3831328 C5203670,Incidence lead,C0021149 C0023175, ,Clinical Research Laboratory Procedures Testing Complete Personal appearance Lacking Tests (qualifier value) Test Result Room of building - Study Scientific Study Question (inquiry) Completion Status for valid values - Complete Test Dosing Unit Study Object Finish - dosing instruction imperative Response (statement) IMPACT gene DICOM Study Study Test Name Blood Products Laboratory Testing Data operation - complete Impact Complete Pharyngeal Contraction Test - temporal region COVID-19,C0008972 C0022885 C0039593 C0205197 C0233426 C0332268 C0392366 C0456984 C0557651 C0947630 C1522634 C1548561 C1704435 C1705923 C1706059 C1706817 C1825598 C1880229 C2603343 C2826273 C3831328 C3853530 C4049986 C4283785 C4318744 C5203670,,,Clinical Research Complete Personal appearance Lacking Question (inquiry) Response (statement) IMPACT gene Blood Products Laboratory Testing COVID-19,C0008972 C0205197 C0233426 C0332268 C1522634 C1706817 C1825598 C3831328 C5203670,,,,COVID-19,C5203670,,,COVID-19,C5203670,,
9,coronavirus canada,covid-19 affect canada,seek data relate infection confirm suspect project health outcome symptoms hospitalization intensive care mortality,covid-19,,Canada Genus: Coronavirus,C0006823 C0206419,Canada,C0006823,Canada Genus: Coronavirus,C0006823 C0206419,Canada,C0006823,,Affect (mental function) Canada COVID-19,C0001721 C0006823 C5203670,Canada,C0006823,Affect (mental function) Canada COVID-19,C0001721 C0006823 C5203670,Canada,C0006823,  ,Communicable Diseases Health Hospitalization Mortality Vital Statistics Aspects of mortality statistics intensive care Relate - vinyl resin Confirmed by Symptoms aspect Confirmation Suspected qualifier Result Confirm Symptoms Data Specialty Type - Intensive care Adverse Event Associated with Infection Allergy Clinical Status - Suspect Project Data call receiving device Infection Data (eukaryote),C0009450 C0018684 C0019993 C0026565 C0026566 C0085559 C0163712 C0521093 C0683368 C0750484 C0750491 C1274040 C1456348 C1457887 C1511726 C1548354 C1556682 C1571873 C1709701 C3245479 C3714514 C3714741,Communicable Diseases Hospitalization intensive care Symptoms,C0009450 C0019993 C0085559 C1457887,Communicable Diseases Health Hospitalization Aspects of mortality statistics intensive care Relate - vinyl resin Suspected qualifier Result Confirm Symptoms Data Project,C0009450 C0018684 C0019993 C0026566 C0085559 C0163712 C0750491 C1274040 C1456348 C1457887 C1511726 C1709701,Communicable Diseases Hospitalization intensive care Symptoms,C0009450 C0019993 C0085559 C1457887,,COVID-19,C5203670,,,COVID-19,C5203670,,
10,coronavirus social distancing impact,social distancing impact slow spread covid-19,seek specific information study measure covid-19's transmission one social distancing non-social distancing approach,covid-19,,Genus: Coronavirus Social IMPACT gene Impact,C0206419 C0728831 C1825598 C4049986,,,Genus: Coronavirus Social IMPACT gene,C0206419 C0728831 C1825598,,,,Spreading (qualifier value) Slow Social IMPACT gene Smear - instruction imperative Impact COVID-19,C0332261 C0439834 C0728831 C1825598 C1947932 C4049986 C5203670,,,Slow Social IMPACT gene Smear - instruction imperative COVID-19,C0439834 C0728831 C1825598 C1947932 C5203670,,,,Clinical Research disease transmission qualifier Measures Specific qualifier value One Measurement disease transmission Approach Room of building - Study Social control act - information Scientific Study NON Mouse Negation transmission process Information Entity Determiner - specific Error severity - Information Acknowledgement Detail Type - Information Study Object DICOM Study Study 1 (finding) COVID-19,C0008972 C0040722 C0079809 C0205369 C0205447 C0242485 C0242781 C0449445 C0557651 C0728831 C0870705 C0947630 C1513853 C1518422 C1521797 C1533716 C1552740 C1561527 C1561528 C1705923 C1880229 C2603343 C5201140 C5203670,Measures,C0079809,Clinical Research Measures disease transmission Approach Social NON Mouse Entity Determiner - specific Acknowledgement Detail Type - Information 1 (finding) COVID-19,C0008972 C0079809 C0242781 C0449445 C0728831 C1513853 C1552740 C1561528 C5201140 C5203670,Measures,C0079809,,COVID-19,C5203670,,,COVID-19,C5203670,,
