topic_id,query
1,coronavirus origin
2,coronavirus response weather change
3,coronavirus immunity
4,people die coronavirus
5,animal model covid-19
6,coronavirus test rapid testing
7,serological test coronavirus
8,coronavirus reporting
9,coronavirus canada
10,coronavirus social distancing impact
11,coronavirus hospital rationing
12,coronavirus quarantine
13,coronavirus spread
14,coronavirus super spreader
15,coronavirus outside body
16,long coronavirus survive surface
17,coronavirus clinical trial
18,mask prevent coronavirus
19,alcohol sanitizer kill coronavirus
20,coronavirus ace inhibitor
21,coronavirus mortality
22,coronavirus heart impact
23,coronavirus hypertension
24,coronavirus diabetes
25,coronavirus biomarkers
26,coronavirus early symptom
27,coronavirus asymptomatic
28,coronavirus hydroxychloroquine
29,coronavirus drug repurposing
30,coronavirus remdesivir
