topic_id,query
1,coronavirus origin origin covid-19 seeking range information sars-cov-2 virus's origin including evolution animal source first transmission human
2,coronavirus response weather change coronavirus respond change weather seeking range information sars-cov-2 virus viability different weather climate condition well information related transmission virus different climate condition
3,coronavirus immunity sars-cov2 infected people develop immunity cross protection possible sars-cov2 infected people develop immunity cross protection possible seeking study immunity developed due infection sars-cov2 cross protection gained due infection coronavirus type
4,people die coronavirus cause death covid-19 study looking mechanism death covid-19
5,animal model covid-19 drug active sars-cov sars-cov-2 animal study paper describe result testing drug bind spike protein virus drug animal model paper sars-cov-2 infection cell culture assay also relevant paper describe result testing drug bind spike protein virus drug animal model paper sars-cov-2 infection cell culture assay also relevant
6,coronavirus test rapid testing type rapid testing covid-19 developed looking study identifying way diagnose covid-19 rapidly
7,serological test coronavirus serological test detect antibody coronavirus looking assay measure immune response covid-19 help determine past infection subsequent possible immunity
8,coronavirus reporting lack testing availability led underreporting true incidence covid-19 looking study answering question impact lack complete testing covid-19 incidence prevalence covid-19
9,coronavirus canada covid-19 affected canada seeking data related infection confirm suspected projected health outcome symptom hospitalization intensive care mortality
10,coronavirus social distancing impact social distancing impact slowing spread covid-19 seeking specific information study measured covid-19's transmission one social distancing non-social distancing approach
11,coronavirus hospital rationing guideline triaging patient infected coronavirus seeking information guideline prioritizing covid-19 patient infected coronavirus based demographic clinical sign serology test
12,coronavirus quarantine best practice hospital home maintaining quarantine seeking information best practice activity duration quarantine exposed infected covid-19 virus
13,coronavirus spread transmission route coronavirus looking information possible way contract covid-19 people animal object
14,coronavirus super spreader evidence related covid-19 super spreader seeking range information related number proportion super spreader pattern behavior lead spread potential prevention strategy targeted specifically toward super spreader
15,coronavirus outside body long coronavirus live outside body seeking range information sars-cov-2's virus's survival different environment surface liquid etc outside human body still viable transmission another human seeking range information sars-cov-2's virus's survival different environment surface liquid etc outside human body still viable transmission another human
16,long coronavirus survive surface long coronavirus remain stable surface study time sars-cov-2 remains stable deposited infected person everyday surface household hospital setting coughing touching object
17,coronavirus clinical trial clinical trial available coronavirus seeking specific covid-19 clinical trial ranging trial recruitment completed trial result
18,mask prevent coronavirus best mask preventing infection covid-19 type mask used prevent infection covid-19
19,alcohol sanitizer kill coronavirus type hand sanitizer needed destroy covid-19 study assessing chemical concentration needed destroy covid-19 virus
20,coronavirus ace inhibitor patient taking angiotensin-converting enzyme inhibitor ace increased risk covid-19 looking information interaction coronavirus angiotensin converting enzyme ace2 receptor risk patient taking medication recommendation patient
21,coronavirus mortality mortality rate overall specific population seeking information covid-19 fatality rate different country different population group based gender blood type factor
22,coronavirus heart impact cardiac complication likely patient covid-19 seeking information type frequency mechanism cardiac complication caused coronavirus
23,coronavirus hypertension kind complication related covid-19 associated hypertension seeking specific outcome hypertensive type patient le likely face infected virus
24,coronavirus diabetes kind complication related covid-19 associated diabetes seeking specific outcome diabetic type patient le likely face infected virus
25,coronavirus biomarkers biomarkers predict severe clinical course 2019-ncov infection looking information biomarkers predict disease outcome people infected coronavirus specifically predict severe fatal outcome
26,coronavirus early symptom initial symptom covid-19 study patient first clinical manifestation develop upon active infection
27,coronavirus asymptomatic known infected covid-19 asymptomatic study people known infected covid-19 show symptom
28,coronavirus hydroxychloroquine evidence value hydroxychloroquine treating covid-19 basic science clinical study assessing benefit harm treating covid-19 hydroxychloroquine
29,coronavirus drug repurposing sars-cov-2 proteins-human protein interaction indicate potential drug target approved drug repurposed based information sars-cov-2 proteins-human protein interaction indicate potential drug target approved drug repurposed based information seeking information protein-protein interaction sars-cov-2 structural protein represent promising therapeutic target drug molecule may inhibit virus host cell receptor entry step
30,coronavirus remdesivir remdesivir effective treatment covid-19 seeking specific information clinical outcome covid-19 patient treated remdesivir
